Epoch,ASWS Schedule 1,ASWS Schedule 2,StepLR Schedule,CyclicLR Schedule,ReduceLR Schedule
188,93.34,92.82,93.1,92.6,92.7
189,93.28,93.09,93.22,91.93,92.76
190,93.31,92.28,93.21,92.59,92.86
191,93.39,92.94,93.21,92.79,92.73
192,93.36,93.27,93.08,92.39,92.78
193,93.28,92.94,93.24,92.71,92.63
194,93.36,92.61,93.23,92.5,92.65
195,93.4,92.73,93.22,92.4,92.78
196,93.4,92.75,93.21,92.66,92.81
197,93.37,93.13,93.18,92.02,92.8
198,93.42,93.14,93.24,92.63,92.78
199,93.35,92.93,93.2,92.55,92.65
200,93.34,92.3,93.04,92.57,92.79
201,93.28,92.51,93.12,92.52,92.78
202,93.44,92.89,93.15,92.33,92.69
203,93.37,93.14,93.14,92.53,92.75
204,93.3,93.34,93.13,92.03,92.75
205,93.39,93.29,93.13,92.2,92.75
206,93.33,93.4,93.29,92.28,92.73
207,93.38,93.51,93.27,92.39,92.75
208,93.39,93.57,93.17,92.55,92.75
209,93.31,93.47,93.2,92.7,92.71
210,93.34,93.5,93.21,92.2,92.74
211,93.37,93.47,93.07,92.32,92.78
212,93.43,93.5,93.12,92.25,92.73
213,93.29,93.49,93.14,92.35,92.69
214,93.35,93.46,93.15,92.53,92.71
215,93.35,93.51,93.07,92.32,92.77
216,93.44,93.55,93.14,92.47,92.79
217,93.33,93.53,93.31,92.08,92.81
218,93.38,93.58,93.18,92.55,92.78
219,93.38,93.49,93.18,92.62,92.76
220,93.4,93.56,93.09,92.31,92.69
221,93.4,93.55,93.24,92.15,92.76
222,93.26,93.55,93.24,92.43,92.83
223,93.35,93.51,93.19,92.48,92.77
224,93.36,93.51,93.13,92.58,92.77
225,93.38,93.55,93.2,92.76,92.73
226,93.33,93.54,93.28,92.11,92.7
227,93.39,93.62,93.19,92.13,92.78
228,93.28,93.45,93.24,92.46,92.78
229,93.33,93.57,93.3,92.47,92.87
230,93.43,93.54,93.27,92.49,92.69
231,93.35,93.52,93.23,92.46,92.79
232,93.32,93.35,93.29,92.7,92.77
233,93.35,93.45,93.2,92.39,92.8
234,93.33,93.47,93.23,92.59,92.75
235,93.35,93.42,93.27,92.29,92.73
236,93.38,93.58,93.16,92.33,92.78
237,93.45,93.52,93.21,92.58,92.82
238,93.2,93.51,93.2,92.41,92.77
239,93.46,93.5,93.23,92.46,92.71
240,93.37,93.58,93.21,92.23,92.88
241,93.4,93.5,93.19,92.26,92.68
242,93.36,93.48,93.19,92.66,92.82
243,93.37,93.53,93.24,92.36,92.74
244,93.3,93.56,93.19,92.33,92.92
245,93.43,93.49,93.15,92.45,92.76
246,93.35,93.55,93.21,92.5,92.71
247,93.43,93.52,93.12,92.85,92.75
248,93.43,93.54,93.27,92.35,92.76
249,93.35,93.53,93.24,92.56,92.8
250,93.37,93.53,93.24,92.77,92.74
251,93.46,93.55,93.26,92.57,92.83
252,93.34,93.49,93.25,92.47,92.79
253,93.31,93.54,93.25,92.6,92.75
254,93.34,93.46,93.26,92.02,92.78
255,93.37,93.59,93.21,92.13,92.82
256,93.36,93.51,93.28,92.2,92.73
257,93.29,93.53,93.13,92.12,92.74
258,93.39,93.56,93.28,92.66,92.76
259,93.33,93.5,93.19,92.63,92.8
260,93.34,93.55,93.2,92.57,92.76
261,93.35,93.46,93.31,92.62,92.81
262,93.37,93.51,93.3,92.64,92.75
263,93.34,93.49,93.21,92.24,92.75
264,93.38,93.54,93.26,92.63,92.69
265,93.35,93.52,93.26,92.34,92.76
266,93.35,93.52,93.24,92.45,92.78
267,93.35,93.54,93.21,92.65,92.77
268,93.32,93.55,93.32,92.6,92.79
269,93.33,93.57,93.27,92.87,92.7
270,93.31,93.45,93.33,92.72,92.74
271,93.36,93.55,93.22,92.92,92.81
272,93.41,93.51,93.29,93.28,92.81
273,93.35,93.51,93.19,93.04,92.72
274,93.24,93.54,93.28,93.08,92.79
275,93.35,93.55,93.29,92.74,92.82
276,93.4,93.43,93.27,92.37,92.71
277,93.43,93.51,93.31,92.56,92.69
278,93.34,93.57,93.27,92.48,92.76
279,93.38,93.53,93.37,92.05,92.73
280,93.38,93.56,93.27,92.45,92.78
281,93.39,93.54,93.28,92.8,92.79
282,93.38,93.56,93.3,92.74,92.67
283,93.41,93.63,93.26,92.7,92.75
284,93.31,93.43,93.34,92.32,92.7
285,93.4,93.48,93.29,92.62,92.75
286,93.37,93.46,93.25,92.6,92.78
287,93.5,93.6,93.24,92.43,92.7
288,93.3,93.51,93.28,92.64,92.81
289,93.36,93.51,93.34,92.6,92.85
290,93.4,93.44,93.39,92.16,92.71
291,93.33,93.57,93.24,92.43,92.85
292,93.28,93.54,93.28,92.92,92.84
293,93.35,93.51,93.21,92.7,92.75
294,93.29,93.5,93.25,93.02,92.76
295,93.36,93.5,93.25,92.65,92.77
296,93.35,93.58,93.33,92.67,92.82
297,93.41,93.58,93.26,92.55,92.69
298,93.39,93.51,93.22,92.61,92.79
299,93.44,93.46,93.33,92.57,92.71
300,93.35,93.53,93.22,92.66,92.79
301,93.31,93.54,93.24,92.49,92.74
302,93.3,93.56,93.26,92.47,92.65
303,93.32,93.51,93.24,92.3,92.88
304,93.35,93.52,93.33,92.6,92.76
305,93.33,93.5,93.24,92.9,92.79
306,93.34,93.51,93.24,92.24,92.78
307,93.31,93.59,93.27,92.38,92.82
308,93.4,93.49,93.24,92.79,92.78
309,93.38,93.55,93.23,92.55,92.81
310,93.35,93.56,93.21,92.3,92.77
311,93.44,93.55,93.29,92.39,92.77
312,93.37,93.5,93.26,92.28,92.82
313,93.35,93.56,93.3,92.47,92.72
314,93.34,93.5,93.29,92.59,92.84
315,93.32,93.51,93.35,92.7,92.84
316,93.35,93.53,93.23,92.72,92.71
317,93.33,93.45,93.26,92.78,92.76
318,93.33,93.49,93.37,92.39,92.7
319,93.33,93.54,93.22,92.4,92.81
320,93.36,93.53,93.21,92.76,92.78
321,93.36,93.52,93.35,92.64,92.73
322,93.36,93.48,93.24,93.06,92.78
323,93.29,93.47,93.26,92.76,92.85
324,93.32,93.56,93.28,92.83,92.77
